Date, AQI Value,Main Pollutant,Site Name,Site ID,Source
1/1/23,58,PM2.5,CHILDREN'S PARK NCore,04-019-1028,AQS
1/2/23,40,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/3/23,41,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/4/23,52,PM2.5,ORANGE GROVE,04-019-0011,AQS
1/5/23,41,Ozone,SAGUARO PARK,04-019-0021,AQS
1/6/23,45,PM2.5,CHILDREN'S PARK NCore,04-019-1028,AQS
1/7/23,48,PM2.5,ORANGE GROVE,04-019-0011,AQS
1/8/23,46,PM2.5,ORANGE GROVE,04-019-0011,AQS
1/9/23,41,Ozone,SAGUARO PARK,04-019-0021,AQS
1/10/23,39,Ozone,SAGUARO PARK,04-019-0021,AQS
1/11/23,40,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/12/23,44,Ozone,SAGUARO PARK,04-019-0021,AQS
1/13/23,43,Ozone,SAGUARO PARK,04-019-0021,AQS
1/14/23,51,PM2.5,ORANGE GROVE,04-019-0011,AQS
1/15/23,35,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/16/23,35,Ozone,SAGUARO PARK,04-019-0021,AQS
1/17/23,42,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/18/23,42,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/19/23,43,PM2.5,ORANGE GROVE,04-019-0011,AQS
1/20/23,42,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/21/23,38,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/22/23,43,Ozone,SAGUARO PARK,04-019-0021,AQS
1/23/23,42,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/24/23,42,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/25/23,42,PM2.5,ORANGE GROVE,04-019-0011,AQS
1/26/23,42,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/27/23,43,Ozone,FAIRGROUNDS,04-019-1020,AQS
1/28/23,49,PM2.5,ORANGE GROVE,04-019-0011,AQS
1/29/23,46,Ozone,SAGUARO PARK,04-019-0021,AQS
1/30/23,43,Ozone,SAGUARO PARK,04-019-0021,AQS
1/31/23,44,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/1/23,40,PM2.5,Ted Walker Park,04-019-1036,AQS
2/2/23,42,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/3/23,43,Ozone,SAGUARO PARK,04-019-0021,AQS
2/4/23,47,Ozone,SAGUARO PARK,04-019-0021,AQS
2/5/23,47,Ozone,SAGUARO PARK,04-019-0021,AQS
2/6/23,45,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/7/23,41,Ozone,SAGUARO PARK,04-019-0021,AQS
2/8/23,44,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/9/23,46,Ozone,SAGUARO PARK,04-019-0021,AQS
2/10/23,47,Ozone,CHILDREN'S PARK NCore,04-019-1028,AQS
2/11/23,44,Ozone,SAGUARO PARK,04-019-0021,AQS
2/12/23,48,Ozone,SAGUARO PARK,04-019-0021,AQS
2/13/23,44,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/14/23,44,Ozone,SAGUARO PARK,04-019-0021,AQS
2/15/23,42,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/16/23,44,Ozone,SAGUARO PARK,04-019-0021,AQS
2/17/23,46,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/18/23,47,Ozone,CHILDREN'S PARK NCore,04-019-1028,AQS
2/19/23,37,PM2.5,Ted Walker Park,04-019-1036,AQS
2/20/23,34,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/21/23,40,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/22/23,44,Ozone,CHILDREN'S PARK NCore,04-019-1028,AQS
2/23/23,47,Ozone,CHILDREN'S PARK NCore,04-019-1028,AQS
2/24/23,44,Ozone,SAGUARO PARK,04-019-0021,AQS
2/25/23,48,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/26/23,45,Ozone,CHILDREN'S PARK NCore,04-019-1028,AQS
2/27/23,51,Ozone,FAIRGROUNDS,04-019-1020,AQS
2/28/23,46,Ozone,SAGUARO PARK,04-019-0021,AQS
3/1/23,42,Ozone,SAGUARO PARK,04-019-0021,AQS
3/2/23,47,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/3/23,45,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/4/23,46,Ozone,SAGUARO PARK,04-019-0021,AQS
3/5/23,47,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/6/23,43,Ozone,SAGUARO PARK,04-019-0021,AQS
3/7/23,42,PM2.5,GERONIMO,04-019-1113,AQS
3/8/23,50,Ozone,GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,04-019-1030,AQS
3/9/23,50,Ozone,SAGUARO PARK,04-019-0021,AQS
3/10/23,48,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/11/23,32,Ozone,SAGUARO PARK,04-019-0021,AQS
3/12/23,44,Ozone,SAGUARO PARK,04-019-0021,AQS
3/13/23,44,Ozone,SAGUARO PARK,04-019-0021,AQS
3/14/23,48,Ozone,SAGUARO PARK,04-019-0021,AQS
3/15/23,34,Ozone,SAGUARO PARK,04-019-0021,AQS
3/16/23,37,Ozone,TANGERINE,04-019-1018,AQS
3/17/23,48,Ozone,SAGUARO PARK,04-019-0021,AQS
3/18/23,45,Ozone,TANGERINE,04-019-1018,AQS
3/19/23,44,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/20/23,44,Ozone,SAGUARO PARK,04-019-0021,AQS
3/21/23,34,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/22/23,41,Ozone,TANGERINE,04-019-1018,AQS
3/23/23,54,Ozone,SAGUARO PARK,04-019-0021,AQS
3/24/23,47,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/25/23,51,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/26/23,51,Ozone,SAGUARO PARK,04-019-0021,AQS
3/27/23,64,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/28/23,51,Ozone,SAGUARO PARK,04-019-0021,AQS
3/29/23,49,Ozone,SAGUARO PARK,04-019-0021,AQS
3/30/23,45,Ozone,FAIRGROUNDS,04-019-1020,AQS
3/31/23,61,Ozone,FAIRGROUNDS,04-019-1020,AQS
4/1/23,77,Ozone,SAGUARO PARK,04-019-0021,AirNow
4/2/23,84,Ozone,SAGUARO PARK,04-019-0021,AirNow
4/3/23,51,Ozone,SAGUARO PARK,04-019-0021,AirNow
