STATION,NAME,DATE,PRCP,TAVG
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/1/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/2/23,0.93,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/3/23,0.25,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/4/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/5/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/6/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/7/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/8/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/9/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/10/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/11/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/12/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/13/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/14/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/15/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/16/23,1.06,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/17/23,0.63,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/18/23,0.08,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/19/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/20/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/21/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/22/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/23/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/24/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/25/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/26/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/27/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/28/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/29/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/30/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",1/31/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/1/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/2/23,0.01,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/3/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/4/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/5/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/6/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/7/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/8/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/9/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/10/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/11/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/12/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/13/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/14/23,0.31,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/15/23,0.38,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/16/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/17/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/18/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/19/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/20/23,0.01,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/21/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/22/23,0.52,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/23/23,0.24,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/24/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/25/23,0,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/26/23,0.14,
US1AZPM0322,"CATALINA 1.6 S, AZ US",2/27/23,0.21,
